;
; LinkTag
;
Record Type,Name,Description,Enabled,Input Tag,Output Tag,Dead Value,Link Mode,Link Rate,Trigger Tag,Comparison,Value,Trigger Type,Trigger Scan Rate
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-09","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-09","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-10","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-10","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-10","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-01","МНС-2.КЦ. КЦ основной А1.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-01","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-01","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-02","МНС-2.КЦ. КК основной А3.1/2","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-02","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-02","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-03","МНС-2.КЦ. КЦ резервный А2.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-03","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-03","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-04","МНС-2.САР Коммутатор ВУ (осн.) А8/2","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-04","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-04","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/1","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-05","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-05","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-06","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-06","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-06","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-07","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-07","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-07","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-08","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-08","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-08","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-09","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-09","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInErrors-10","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInErrors-10","Diag.SNMP.MNS-2-KC-A8.Ports.ifInErrors-10","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-01","МНС-2.КЦ. КЦ основной А1.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-01","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-01","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-02","МНС-2.КЦ. КК основной А3.1/2","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-02","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-02","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-03","МНС-2.КЦ. КЦ резервный А2.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-03","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-03","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-04","МНС-2.САР Коммутатор ВУ (осн.) А8/2","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-04","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-04","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/1","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-05","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-05","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-06","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-06","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-06","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-07","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-07","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-07","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-08","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-08","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-08","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-09","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-09","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifInOctets-10","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifInOctets-10","Diag.SNMP.MNS-2-KC-A8.Ports.ifInOctets-10","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-01","МНС-2.КЦ. КЦ основной А1.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-01","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-01","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-02","МНС-2.КЦ. КК основной А3.1/2","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-02","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-02","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-03","МНС-2.КЦ. КЦ резервный А2.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-03","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-03","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-04","МНС-2.САР Коммутатор ВУ (осн.) А8/2","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-04","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-04","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/1","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-05","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-05","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-06","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-06","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-06","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-07","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-07","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-07","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-08","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-08","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-08","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-09","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-09","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifOperStatus-10","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifOperStatus-10","Diag.SNMP.MNS-2-KC-A8.Ports.ifOperStatus-10","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.State.CPULoad","Загрузка CPU","1","SNMP.MNS-2-KC-A8.State.CPULoad","Diag.SNMP.MNS-2-KC-A8.State.CPULoad","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.State.CPUTemp","Температура процессора","1","SNMP.MNS-2-KC-A8.State.CPUTemp","Diag.SNMP.MNS-2-KC-A8.State.CPUTemp","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.State.PowerState1","Состояние ввода питания №1","1","SNMP.MNS-2-KC-A8.State.PowerState1","Diag.SNMP.MNS-2-KC-A8.State.PowerState1","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.State.PowerState2","Состояние ввода питания №2","1","SNMP.MNS-2-KC-A8.State.PowerState2","Diag.SNMP.MNS-2-KC-A8.State.PowerState2","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Property.FW","Версия прошивки","1","SNMP.MNS-2-KC-A8.Property.FW","Diag.SNMP.MNS-2-KC-A8.Property.FW","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Property.IP","IP адресс","1","SNMP.MNS-2-KC-A8.Property.IP","Diag.SNMP.MNS-2-KC-A8.Property.IP","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Property.Mask","Маска","1","SNMP.MNS-2-KC-A8.Property.Mask","Diag.SNMP.MNS-2-KC-A8.Property.Mask","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Property.Name","Наименование устройства","1","SNMP.MNS-2-KC-A8.Property.Name","Diag.SNMP.MNS-2-KC-A8.Property.Name","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Property.sysUpTime","Время работы","1","SNMP.MNS-2-KC-A8.Property.sysUpTime","Diag.SNMP.MNS-2-KC-A8.Property.sysUpTime","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Status.Avar","Авария","1","_AdvancedTags.MNS-2-KC-A8.Avar","Diag.SNMP.MNS-2-KC-A8.Status.Avar","1","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Status.Errors","Количество ошибок","1","_AdvancedTags.MNS-2-KC-A8.Avar","Diag.SNMP.MNS-2-KC-A8.Status.Errors","1","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.ObjName","МНС-2.КЦ. Коммутатор ВУ (рез.) А9","1","SNMP.MNS-2-KC-A9.ObjName","Diag.SNMP.MNS-2-KC-A9.ObjName","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Status","Доступность устройства","1","SNMP.MNS-2-KC-A9._System._NoError","Diag.SNMP.MNS-2-KC-A9.Status","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-01","МНС-2.КЦ. КЦ основной А1.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-01","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-01","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-02","МНС-2.КЦ. КК резервный А4.1/2","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-02","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-02","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-03","МНС-2.КЦ. КЦ резервный А2.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-03","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-03","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-04","МНС-2.САР Коммутатор ВУ (рез.) А9/2","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-04","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-04","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-05","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-05","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-06","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-06","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-06","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-07","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-07","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-07","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-08","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-08","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-08","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-09","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-09","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifAdminStatus-10","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-10","Diag.SNMP.MNS-2-KC-A9.Ports.ifAdminStatus-10","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-01","МНС-2.КЦ. КЦ основной А1.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-01","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-01","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-02","МНС-2.КЦ. КК резервный А4.1/2","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-02","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-02","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-03","МНС-2.КЦ. КЦ резервный А2.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-03","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-03","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-04","МНС-2.САР Коммутатор ВУ (рез.) А9/2","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-04","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-04","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-05","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-05","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-06","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-06","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-06","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-07","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-07","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-07","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-08","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-08","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-08","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-09","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-09","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInErrors-10","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInErrors-10","Diag.SNMP.MNS-2-KC-A9.Ports.ifInErrors-10","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-01","МНС-2.КЦ. КЦ основной А1.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-01","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-01","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-02","МНС-2.КЦ. КК резервный А4.1/2","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-02","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-02","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-03","МНС-2.КЦ. КЦ резервный А2.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-03","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-03","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-04","МНС-2.САР Коммутатор ВУ (рез.) А9/2","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-04","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-04","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-05","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-05","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-06","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-06","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-06","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-07","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-07","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-07","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-08","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-08","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-08","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-09","МНС-2.ШС Коммутатор L3 (рез.)","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-09","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-09","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifInOctets-10","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifInOctets-10","Diag.SNMP.MNS-2-KC-A9.Ports.ifInOctets-10","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifOperStatus-01","МНС-2.КЦ. КЦ основной А1.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifOperStatus-01","Diag.SNMP.MNS-2-KC-A9.Ports.ifOperStatus-01","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifOperStatus-02","МНС-2.КЦ. КК резервный А4.1/2","1","SNMP.MNS-2-KC-A9.Ports.ifOperStatus-02","Diag.SNMP.MNS-2-KC-A9.Ports.ifOperStatus-02","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifOperStatus-03","МНС-2.КЦ. КЦ резервный А2.3/2","1","SNMP.MNS-2-KC-A9.Ports.ifOperStatus-03","Diag.SNMP.MNS-2-KC-A9.Ports.ifOperStatus-03","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifOperStatus-04","МНС-2.САР Коммутатор ВУ (рез.) А9/2","1","SNMP.MNS-2-KC-A9.Ports.ifOperStatus-04","Diag.SNMP.MNS-2-KC-A9.Ports.ifOperStatus-04","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifOperStatus-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2","1","SNMP.MNS-2-KC-A9.Ports.ifOperStatus-05","Diag.SNMP.MNS-2-KC-A9.Ports.ifOperStatus-05","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A9.Ports.ifOperStatus-06","резерв","1","SNMP.MNS-2-KC-A9.Ports.ifOperStatus-06","Diag.SNMP.MNS-2-KC-A9.Ports.ifOperStatus-06","2","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
